Сумма.баллов,Оценка.1,Оценка.2,Оценка.3,Оценка.4,ГТО.оценка,Сочинение.оценка,Аттестат.с.отличием.оценка,Оригинал.,Общежитие,Дата.заявления,Тип.насел..пункта,Участие.в.олимпиадах,Дата.выдачи.док..об.образов,Школа,Сумма.положительных.оценок,,,
309,55,76,92,85,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 18:16:56,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1580 МОСКВ,308,,,
307,65,78,74,89,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 18:16:09,ГОРОД,Не является  победителем олимпиады,27.06.2018,ДОНСК ГОСУДАРСТВЕНН ТЕХНИЧЕСК УНИВЕРСИТЕТ,306,,,
334,70,74,94,89,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018,ГОРОД,Не является  победителем олимпиады,24.06.2008,ГИМНАЗ 11 ЕЛЬЦ,327,,,
205,30,62,47,65,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 18:10:30,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ 19 ХИМК,204,,,
333,100,86,74,72,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 18:08:13,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Победитель олимпиады из Перечня,22.06.2018,СУНЦ МГ,332,,,
284,45,76,72,89,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 18:05:57,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,Не является  победителем олимпиады,25.06.2018,СОШ 3 ЧЕХОВ,282,,,
371,80,92,100,91,0,3,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018,ГОРОД,Призер олимпиады из Перечня,28.06.2018,СОШ 54 ИЖЕВСК,363,,,
332,55,84,90,96,0,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 18:02:57,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,28.06.2018,ЛИЦ 1 ПОДОЛЬСК,325,,,
303,60,78,86,72,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 18:01:23,ГОРОД,Не является  победителем олимпиады,29.06.2018,ГИМНАЗ 10 ЛУХОВИЦ,296,,,
335,70,84,90,89,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 17:59:44,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1564 МОСКВ,333,,,
326,50,80,96,98,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 17:54:31,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 654 МОСКВ,324,,,
394,100,88,100,98,0,3,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,21.06.2018,СОШ 420 САНКТ-ПЕТЕРБУРГ,386,,,
325,65,76,86,91,0,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 17:49:14,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ГИМНАЗ 1563 МОСКВ,318,,,
274,35,74,62,96,0,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 17:42:09,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ ШКОЛ КАРАМЗИНА МОСКВ,267,,,
353,70,86,94,96,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 17:38:57,ГОРОД,Не является  победителем олимпиады,25.06.2018,ГИМНАЗ 44 ТВЕР,346,,,
357,80,88,88,94,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 17:38:14,ГОРОД,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1557 МОСКВ,350,,,
361,100,88,84,82,0,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 1101 МОСКВ,354,,,
342,60,92,90,94,0,1,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018 17:07:50,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,28.06.2018,ЛИЦ ТПУ ТОМСК,336,,,
355,80,90,96,89,0,0,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018 17:17:58,ГОРОД,Не является  победителем олимпиады,28.06.2018,ЛИЦ ТПУ ТОМСК,355,,,
291,55,70,68,94,2,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1537 МОСКВ,287,,,
305,70,84,61,89,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ ЮГО ВОСТОК МАРШАЛ ЧУЙКОВА МОСКВ,304,,,
280,55,76,68,80,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018 17:46:30,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,27.06.2018,ГИМНАЗ 7 ДАГЕСТАН,279,,,
372,90,96,100,80,0,1,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018 17:51:52,ГОРОД,Не является  победителем олимпиады,23.06.2018,ГИМНАЗ 44 ПЕНЗ,366,,,
392,100,92,100,91,2,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018,ГОРОД,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 2 ДЮРТЮЛ,383,,,
313,65,84,80,82,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018 18:15:41,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,29.06.2018,ЛИЦ 17 КОСТРОМ,311,,,
353,70,84,92,100,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,22.06.2018,ГИМНАЗ 1 ОРЕНБУРГ,346,,,
331,70,78,86,94,2,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018 18:36:02,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,29.06.2018,ГИМНАЗ 1 САМАР,328,,,
322,55,84,78,96,2,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018 18:48:26,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,23.06.2018,СОШ 11 КАЛИНИНГРАД,313,,,
290,60,70,72,87,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018 18:51:01,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 49 КАЛИНИНГРАД,289,,,
303,55,80,70,96,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018 11:06:00,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1547 МОСКВ,301,,,
321,70,86,80,85,0,0,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Не является  победителем олимпиады,23.06.2012,ЛИЦ 15 САРОВ,321,,,
341,75,82,82,94,2,1,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Не является  победителем олимпиады,28.06.2018,СОШ 43 ТВЕР,333,,,
388,100,88,100,91,2,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Призер олимпиады из Перечня,29.06.2018,ЛИЦ 4 ТАГАНРОГ,379,,,
314,70,86,64,89,2,3,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,23.06.2018,ЛИЦ ЭЛИСТИНСК ЛИЦ ЭЛИСТ,309,,,
321,55,78,90,91,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,29.06.2018,СОШ 12 КАЗАН,314,,,
297,70,68,64,89,0,1,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ 2042 МОСКВ,291,,,
388,100,88,100,98,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018 11:46:31,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Победитель олимпиады из Перечня,23.06.2018,ЛИЦ ВТОРАЯ ШКОЛА МОСКВ,386,,,
325,55,76,86,100,0,3,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Не является  победителем олимпиады,29.06.2018,СОШ 30 ПОДОЛЬСК,317,,,
323,60,76,80,98,2,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 1985 МОСКВ,314,,,
376,100,88,88,98,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018 12:08:36,ГОРОД,Призер олимпиады из Перечня,23.06.2018,ЛИЦ НАУЧНО ИНЖЕНЕРН ПРОФИЛ КОРОЛЕВ,374,,,
301,50,82,78,89,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,Не является  победителем олимпиады,27.06.2018,СОШ 70 ТЮМЕН,299,,,
362,70,96,92,94,2,3,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1553 МОСКВ,352,,,
307,60,80,84,82,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,27.06.2018,ГИМНАЗ 1 НОВОСИБИРСК,306,,,
322,65,78,72,100,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ 1498 МОСКВ,315,,,
282,35,76,80,89,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ 24 МЫТИЩ,280,,,
315,55,76,88,94,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1580 МОСКВ,313,,,
331,65,80,96,87,2,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Не является  победителем олимпиады,29.06.2018,ЛИЦ 67 ИВАНОВ,328,,,
297,60,72,59,100,0,1,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018 12:55:40,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,26.06.2018,СОШ 10 КРАСНОЯРСК,291,,,
299,55,84,68,85,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018 13:07:21,ГОРОД,Не является  победителем олимпиады,26.06.2018,СОШ 13 ЭЛЕКТРОСТАЛ,292,,,
280,30,78,76,94,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ ВТОРАЯ ШКОЛА МОСКВ,278,,,
305,60,74,72,91,0,3,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 18:10:47,ГОРОД,Не является  победителем олимпиады,27.06.2018,ДОНСК ГОСУДАРСТВЕНН ТЕХНИЧЕСК УНИВЕРСИТЕТ,297,,,
311,60,80,82,87,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,29.06.2018,ЛИЦ 2 САРАТОВ,309,,,
331,65,78,96,85,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018 11:47:28,ГОРОД,Не является  победителем олимпиады,26.06.2018,ЛИЦ 124 БАРНАУЛ,324,,,
399,100,100,98,94,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Победитель олимпиады из Перечня,01.07.2018,ЛИЦ КИРОВСК ФИЗИКО МАТЕМАТИЧЕСК ЛИЦ КИРОВ,392,,,
323,70,82,89,81,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,19.06.2015,СОШ 444 МОСКВ,322,,,
333,60,80,88,100,2,3,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 2007 МОСКВ,328,,,
305,60,86,57,96,0,1,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018 17:31:07,ГОРОД,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1547 МОСКВ,299,,,
305,70,76,66,91,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018 18:18:31,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ ПЯТЬДЕСЯТ СЕДЬМ МОСКВ,303,,,
351,70,86,90,98,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ 47 ТОЛЬЯТТ,344,,,
379,100,86,90,96,0,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018 13:27:54,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1511,372,,,
317,55,98,68,94,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018 11:44:49,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ 518 МОСКВ,315,,,
356,65,92,96,96,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,28.06.2018,СОШ 1 ТУЛ,349,,,
373,100,76,100,91,0,1,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018,ГОРОД,Призер олимпиады из Перечня,23.06.2018,СОШ 16 ПЯТИГОРСК,367,,,
348,60,90,100,91,0,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018 13:31:38,ГОРОД,Призер олимпиады из Перечня,28.06.2018,СОШ 9 ДОЛГОПРУДН,341,,,
328,70,82,82,87,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018,ГОРОД,Не является  победителем олимпиады,29.06.2018,ЛИЦ 7 ЭЛЕКТРОСТАЛ,321,,,
319,60,72,94,91,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,29.06.2018,ЛИЦ 1 НОВОТРОИЦК,317,,,
317,60,76,88,91,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 18:35:55,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ 2089 МОСКВ,315,,,
396,100,98,90,100,0,3,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 17:31:13,ГОРОД,Призер олимпиады из Перечня,28.06.2018,СОШ 14 ТВЕР,388,,,
349,100,86,68,94,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 17:12:04,ГОРОД,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1580 МОСКВ,348,,,
328,70,80,83,93,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 16:51:22,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2017,ГИМНАЗ 1543 МОСКВ,326,,,
333,85,74,94,80,0,0,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 16:29:50,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,29.06.2018,ГИМНАЗ 9 ЕКАТЕРИНБУРГ,333,,,
359,65,94,96,96,0,3,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 15:52:21,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1525 МОСКВ,351,,,
396,100,100,92,98,0,1,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 6 КУРСК,390,,,
303,40,74,94,94,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 14:20:07,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,29.06.2018,СОШ 68 РЯЗАН,302,,,
361,100,88,82,89,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 13:55:08,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 153 УФ,359,,,
345,75,90,100,80,0,0,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 13:27:33,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,Призер олимпиады из Перечня,26.06.2018,СОШ САМАРСК РЕГИОНАЛЬН ЦЕНТР ДЛ ОДАРЕННЫХ ДЕТЕЙ САМАР,345,,,
309,65,70,78,94,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018 13:08:51,ГОРОД,Не является  победителем олимпиады,24.06.2018,СОШ 10 РЕУТОВ,307,,,
326,65,78,92,91,0,0,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 2007 МОСКВ,326,,,
394,100,88,100,98,0,3,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1580 МОСКВ,386,,,
323,65,76,86,94,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1501 МОСКВ,321,,,
401,100,96,100,98,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Победитель олимпиады из Перечня,30.06.2018,ЛИЦ 3 ВОЛГОГРАД,394,,,
389,100,98,100,89,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 218 МОСКВ,387,,,
317,40,82,94,94,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 18:08:22,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,30.06.2018,ГИМНАЗ 12 ТВЕР,310,,,
339,60,86,96,96,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,05.07.2018 17:26:49,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ГИМНАЗ 1576 МОСКВ,338,,,
280,55,70,68,85,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,26.06.2018,СОШ 49 УЛАН,278,,,
318,55,82,84,89,0,3,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ БАЛАШИХ,310,,,
336,70,84,82,98,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ГИМНАЗ 1534 МОСКВ,334,,,
289,55,82,71,78,2,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,23.06.2017,АКАДЕМ САМАРСК ГОСУДАРСТВЕНН ОБЛАСТН АКАДЕМ,286,,,
288,35,76,82,85,2,3,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 2089 МОСКВ,278,,,
302,70,78,78,76,0,0,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018 13:29:02,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ СПБГУ,302,,,
304,60,74,72,91,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018 13:30:06,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,29.06.2018,ГИМНАЗ 8 ОРЕНБУРГ,297,,,
307,50,82,76,98,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,23.06.2018,ГИМНАЗ 5 БЕЛГОРОД,306,,,
315,65,82,82,82,2,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018 13:38:48,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ 143 ОМСК,311,,,
314,35,82,100,94,0,3,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1511,311,,,
325,75,80,80,89,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018 13:53:27,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,27.06.2018,ЛИЦ 1 САРАТОВ,324,,,
288,35,76,74,96,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ 2 ПЕСТОВО,281,,,
294,50,82,60,94,0,3,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Не является  победителем олимпиады,23.06.2018,ЛИЦ ЭЛИСТИНСК ЛИЦ ЭЛИСТ,286,,,
359,90,88,92,86,0,3,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Не является  победителем олимпиады,26.06.2016,ТЮМЕНСК ГОСУДАРСТВЕНН УНИВЕРСИТЕТ,356,,,
290,65,84,62,78,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018 14:08:00,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1501 МОСКВ,289,,,
320,50,88,86,89,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018 14:08:14,ГОРОД,Не является  победителем олимпиады,24.06.2018,ЛИЦ 13 ХИМК,313,,,
326,65,78,82,94,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Не является  победителем олимпиады,25.06.2018,СОШ 9 РОСЛАВЛ,319,,,
294,35,78,90,91,0,0,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1581 МОСКВ,294,,,
